id;datum;dan;imeDana;danSkraceno;danUSedmici;danUTromjesecu;danUGodini;sedmica;mjesec;imeMjeseca;kvartal;godina
20190101;1.1.2019;1;Utorak;Uto;2;1;1;1;1;Januar;1;2019
20190102;1.2.2019;2;Srijeda;Sri;3;2;2;1;1;Januar;1;2019
20190103;1.3.2019;3;Cetvrtak;Cet;4;3;3;1;1;Januar;1;2019
20190104;1.4.2019;4;Petak;Pet;5;4;4;1;1;Januar;1;2019
20190105;1.5.2019;5;Subota;Sub;6;5;5;1;1;Januar;1;2019
20190106;1.6.2019;6;Nedelja;Ned;7;6;6;1;1;Januar;1;2019
20190107;1.7.2019;7;Ponedeljak;Pon;1;7;7;2;1;Januar;1;2019
20190108;1.8.2019;8;Utorak;Uto;2;8;8;2;1;Januar;1;2019
20190109;1.9.2019;9;Srijeda;Sri;3;9;9;2;1;Januar;1;2019
20190110;1.10.2019;10;Cetvrtak;Cet;4;10;10;2;1;Januar;1;2019
20190111;1.11.2019;11;Petak;Pet;5;11;11;2;1;Januar;1;2019
20190112;1.12.2019;12;Subota;Sub;6;12;12;2;1;Januar;1;2019
20190113;1.13.2019;13;Nedelja;Ned;7;13;13;2;1;Januar;1;2019
20190114;1.14.2019;14;Ponedeljak;Pon;1;14;14;3;1;Januar;1;2019
20190115;1.15.2019;15;Utorak;Uto;2;15;15;3;1;Januar;1;2019
20190116;1.16.2019;16;Srijeda;Sri;3;16;16;3;1;Januar;1;2019
20190117;1.17.2019;17;Cetvrtak;Cet;4;17;17;3;1;Januar;1;2019
20190118;1.18.2019;18;Petak;Pet;5;18;18;3;1;Januar;1;2019
20190119;1.19.2019;19;Subota;Sub;6;19;19;3;1;Januar;1;2019
20190120;1.20.2019;20;Nedelja;Ned;7;20;20;3;1;Januar;1;2019
20190121;1.21.2019;21;Ponedeljak;Pon;1;21;21;4;1;Januar;1;2019
20190122;1.22.2019;22;Utorak;Uto;2;22;22;4;1;Januar;1;2019
20190123;1.23.2019;23;Srijeda;Sri;3;23;23;4;1;Januar;1;2019
20190124;1.24.2019;24;Cetvrtak;Cet;4;24;24;4;1;Januar;1;2019
20190125;1.25.2019;25;Petak;Pet;5;25;25;4;1;Januar;1;2019
20190126;1.26.2019;26;Subota;Sub;6;26;26;4;1;Januar;1;2019
20190127;1.27.2019;27;Nedelja;Ned;7;27;27;4;1;Januar;1;2019
20190128;1.28.2019;28;Ponedeljak;Pon;1;28;28;5;1;Januar;1;2019
20190129;1.29.2019;29;Utorak;Uto;2;29;29;5;1;Januar;1;2019
20190130;1.30.2019;30;Srijeda;Sri;3;30;30;5;1;Januar;1;2019
20190131;1.31.2019;31;Cetvrtak;Cet;4;31;31;5;1;Januar;1;2019
20190201;2.1.2019;1;Petak;Pet;5;32;32;5;2;Februar;1;2019
20190202;2.2.2019;2;Subota;Sub;6;33;33;5;2;Februar;1;2019
20190203;2.3.2019;3;Nedelja;Ned;7;34;34;5;2;Februar;1;2019
20190204;2.4.2019;4;Ponedeljak;Pon;1;35;35;6;2;Februar;1;2019
20190205;2.5.2019;5;Utorak;Uto;2;36;36;6;2;Februar;1;2019
20190206;2.6.2019;6;Srijeda;Sri;3;37;37;6;2;Februar;1;2019
20190207;2.7.2019;7;Cetvrtak;Cet;4;38;38;6;2;Februar;1;2019
20190208;2.8.2019;8;Petak;Pet;5;39;39;6;2;Februar;1;2019
20190209;2.9.2019;9;Subota;Sub;6;40;40;6;2;Februar;1;2019
20190210;2.10.2019;10;Nedelja;Ned;7;41;41;6;2;Februar;1;2019
20190211;2.11.2019;11;Ponedeljak;Pon;1;42;42;7;2;Februar;1;2019
20190212;2.12.2019;12;Utorak;Uto;2;43;43;7;2;Februar;1;2019
20190213;2.13.2019;13;Srijeda;Sri;3;44;44;7;2;Februar;1;2019
20190214;2.14.2019;14;Cetvrtak;Cet;4;45;45;7;2;Februar;1;2019
20190215;2.15.2019;15;Petak;Pet;5;46;46;7;2;Februar;1;2019
20190216;2.16.2019;16;Subota;Sub;6;47;47;7;2;Februar;1;2019
20190217;2.17.2019;17;Nedelja;Ned;7;48;48;7;2;Februar;1;2019
20190218;2.18.2019;18;Ponedeljak;Pon;1;49;49;8;2;Februar;1;2019
20190219;2.19.2019;19;Utorak;Uto;2;50;50;8;2;Februar;1;2019
20190220;2.20.2019;20;Srijeda;Sri;3;51;51;8;2;Februar;1;2019
20190221;2.21.2019;21;Cetvrtak;Cet;4;52;52;8;2;Februar;1;2019
20190222;2.22.2019;22;Petak;Pet;5;53;53;8;2;Februar;1;2019
20190223;2.23.2019;23;Subota;Sub;6;54;54;8;2;Februar;1;2019
20190224;2.24.2019;24;Nedelja;Ned;7;55;55;8;2;Februar;1;2019
20190225;2.25.2019;25;Ponedeljak;Pon;1;56;56;9;2;Februar;1;2019
